chunk_id,headings
50,"['Heading A - Knowing God is faithful to fulfilling what He has said', 'Heading B - Looking for instances in scripture that God fulfilled when He told someone', 'Heading C - Continuously meditating on the word, repeating it, and seeing it everywhere you go']"
51,
52,"['Heading A', 'Heading B', 'Heading C']"
53,"['Purpose', 'Event', 'Definition', 'Importance', 'Symbolism']"
54,"['Introduction', 'Key Theological Topics', 'Being Born Again', 'Eternal Salvation', 'Acts of Faith and Obedience']"
55,
56,"['Heading A', 'Heading B', 'Heading C']"
57,"['Who', 'What', 'Why']"
58,"['Forged to enter God’s Kingdom', 'First Creation Involving Water & Spirit', 'Water Symbolizing the Breaking of the Old Life', 'Entering God’s Kingdom by Being Born of Water & Spirit', 'Being Born in Christ', 'Contrast of Old & New Creation', 'Rising Again Through Christ']"
59,"['Introduction', 'Question of Sinning Through Baptism', 'Baptism as an Act of Faith and Obedience', 'Baptism Unlocks the Spiritual Realm', 'Major Headings for Future Sections']"
60,"['Heading A', 'Heading B', 'Heading C']"
61,"['The Justification Through Grace', 'Baptism as an Open Declaration', 'Comparing Justification Through Grace and Legal Systems', 'Conclusion: The Christus in Baptism']"
62,"['Introduction', 'Eventual Deliverance', 'Regretting Self-Conditioning', 'The Truth Is Because of Justification', 'Adoption', 'Past, Present, Future Sins', 'Repetentia and Grace', 'Conclusion']"
63,"['Adoption and Being Christ', 'Understanding the Faith', 'The Role of Family', 'Reflecting on Others']"
64,"['Kingdom Overview', 'Theology on Good Works', 'Water Baptism', 'Salvation Through Grace']"
65,"['Gloriﬁcation', '2 Corinthians 5:1-2', 'Erosion of Sin', 'Romans 8:21', 'Water Baptism', 'Public Declaration of Faith in the Resurrection of Jesus', 'Fellowship in Faithful Faring']"
66,"['Physical Healing through Water', 'Algorithmic Healing in the New Testament', 'Reflections on Algorithmic Healing']"
67,"[""God's Relationship with Humanity"", 'The Role of Jesus as an Example of Light and Healing', 'Their Spiritual Journey', 'Emotional Pain and Hurt', 'Judgment in Relation to Bitterness', 'Biblical Water Usage', 'The River of Water (Water and Judgment)', 'The Cross and Division', 'The Wounds and Healing by Christ', ""The Hebrews' Perspective on Grace and Rooting Out Beterness"", 'Water in the Old Testament', 'Conclusion on the Role of Water']"
68,"['Introduction', 'Body', 'Details', 'Conclusion', 'Closing', 'Summary']"
69,"['Introduction', ""Water as a Sign of Judgment: The Symbol of God's Protection and Judgement in the Bible"", 'Victory in Christ: Water Baptism']"
